complaint_text,officer_behaviour,amount
"Fire NOC office section officer did not delay even once, what a refreshing experience",Good,0
"Kotte INR 10,000 Revenue office nalli, illadidre naann kaaj aage irthirlilla",Bad,18000
The staff member at Police station handled my case after I followed up five times,Neutral,2000
"Paid INR 12,000 at BESCOM voluntarily because nothing was going to move otherwise",Bad,500
"Forced payment INR 3,000 Municipal office madhye, section officer la kaahi bhiti nahi 😡",Bad,800
senior officer at Social welfare office said bring all originals again — they already have them,Bad,0
My senior officer at Water board was the first honest government officer I have met,Good,0
"senior officer at Employment exchange said bring INR 18,000 tomorrow or forget the entire application",Bad,1000
"Naachaar ah INR 30,000 kuduthen Income tax office la, veru vazhi illai",Bad,1000
Neither great nor bad — Ration PDS office just about managed to do their job,Neutral,0
supervisor at Education department said bring INR 500 tomorrow or forget the entire application,Bad,6000
"supervisor nodi nakkidhu Ration PDS office nalli, yenu kela maadlilla — satisfied",Good,0
"Had no option but to pay INR 40,000 at Water board — head clerk made that very clear",Bad,7000
The duty officer at Social welfare office turned away my agent and helped me directly instead,Good,0
"BBMP madhye swachh anubhav, koi extra demand nahi bilkul",Good,0
"section officer directly INR 3,000 kela maade Income tax office nalli, illadre reject anthu",Bad,25000
"INR 12,000 dile swatahun Building permit office madhye, nahi tar pani jhaala nasata",Bad,30000
Fire NOC office staff member deserves appreciation — zero corruption witnessed,Good,0
staff member barely looked at me at RTO — clearly waiting for cash,Bad,0
"Pehilya visit la kaam zaala Land registration madhye, senior officer decent hota",Good,0
"Ek rupaya nahi dena tha par INR 8,000 BESCOM mein dena pad gaya finally",Bad,1200
"Naale baa anthaare Labour department nalli, but kaam aaythu eventually",Neutral,0
"duty officer at Fire NOC office said bring INR 15,000 tomorrow or forget the entire application",Bad,10000
"Paid INR 1,000 at Revenue office under force, filing a complaint with vigilance now",Bad,15000
"Khullam khulla INR 30,000 manga Municipal office mein, koi dar nahi tha staff member ko",Bad,1500
"Naane kodthe INR 40,000 Trade licence office nalli, kela maadlilla andre file move aagilla",Bad,40000
Happy ayyanu,Good,0
"Dhamki deta INR 2,000 ghetla BESCOM madhye, chukeeche ahe",Bad,50000
The head clerk at Drug control department handled my case after I followed up five times,Neutral,0
"Work aaytu Trade licence office nalli bega bega, staff member tumba helpful aagidru",Good,0
"Mediocre service at Building permit office, staff member was indifferent throughout",Neutral,0
"clerk at Passport office said pay INR 40,000 or come back in six months",Bad,800
"desk officer ne seedha INR 12,000 magitla Trade licence office madhye, nahi tar reject asa sangitla",Bad,1200
The staff member at Taluk office helped me fix the rejection reason and resubmit for free,Good,0
"Work aaytu Trade licence office nalli bega bega, section officer tumba helpful aagidru",Good,0
"section officer ne Health department madhye broker la door kela, swatah help kela — respect",Good,0
"INR 500 diye Building permit office mein apni marzi se, warna aur mahine nikal jaate",Bad,1200
"Forced ah INR 1,000 vanginaanga Forest department la, complaint panren definitely 😡",Bad,500
"Naachaar ah INR 2,000 kuduthen BBMP la, veru vazhi illai",Bad,1000
"Health department lo chaala mandi head clerk, paniki vachaaru, paisa adagaledu 🙏",Good,0
"desk officer screamed at me when I refused, then demanded INR 50,000 again loudly",Bad,1000
"The staff member at Building permit office used a middleman to collect INR 20,000 from me",Bad,2500
"head clerk theek tha Ration PDS office mein, na helpful na obstructive",Neutral,3000
"Nayi nayi problem nikaal rahe hain Municipal office mein, sab bahana hai 😡",Bad,0
"Khullam khulla INR 15,000 manga RTO mein, koi dar nahi tha supervisor ko",Bad,40000
"INR 800 kuduthen BESCOM la, illati velai aagaathu nu therinjuchu",Bad,6000
"Gave INR 3,000 because the waiting game at GST office was clearly never ending",Bad,35000
"Surprisingly smooth experience at Panchayat office, inspector was very professional",Good,0
clerk at Social welfare office said bring all originals again — they already have them,Bad,0
The head clerk at Revenue office helped me fix the rejection reason and resubmit for free,Good,0
"Passport office head clerk did not delay even once, what a refreshing experience",Good,0
"section officer screamed at me when I refused, then demanded INR 500 again loudly",Bad,6000
"GST office nalli kaaj aagolla, yaako delay anthaare explain maadalla clerk",Bad,0
"Was told to pay INR 50,000 at Trade licence office or my application would be rejected",Bad,6000
"supervisor at Land registration threatened to cancel my file unless I paid INR 20,000 immediately",Bad,2000
The section officer at Trade licence office handled everything without asking for a single rupee,Good,0
Horrible staff,Bad,0
"The section officer at Social welfare office demanded INR 3,000 openly with absolutely zero shame",Bad,10000
Revenue office ke section officer ne broker ko bhaga diya aur khud help ki — respect 🙏,Good,0
"Gave INR 2,000 at Education department because I cannot keep taking leaves from work",Bad,3000
"Forced payment INR 6,000 Panchayat office madhye, staff member la kaahi bhiti nahi 😡",Bad,1000
"Straight aagi heltidru INR 50,000 kodo Social welfare office nalli, illadre file close aagthade",Bad,1000
"Told me flat out at Labour department — pay INR 50,000 or get out of this office now",Bad,5000
"Gave INR 15,000 at Ration PDS office after section officer rejected my correct documents twice",Bad,1200
"Dabaav mein diya INR 500 Income tax office mein, desk officer bilkul nahi dara",Bad,1500
"File stuck at Revenue office for over a month, inspector gives a new excuse every visit",Bad,0
"Average experience at Labour department, desk officer processed my file eventually",Neutral,0
"supervisor ne seedha INR 50,000 magitla Education department madhye, nahi tar reject asa sangitla",Bad,50000
"Forced to pay INR 8,000 at Police station, duty officer had no fear of CCTV at all",Bad,2000
"Velai nadakkalai Labour department la, enna reason nu sollavillai duty officer 😤",Bad,0
"The head clerk at BESCOM used a middleman to collect INR 2,000 from me",Bad,18000
The duty officer at Employment exchange was okay — not rude but not helpful either,Neutral,1200
"Bilkul sahi kaam hua Education department mein, koi chakkar nahi, very happy",Good,0
"Naachaar ah INR 5,000 kuduthen Trade licence office la, veru vazhi illai",Bad,1200
"3 vaaram achu Trade licence office la, progress illai, suspicious ah irukku",Bad,0
The officer explained the whole procedure clearly without hinting at anything,Good,0
"Forced ga INR 30,000 teesukunnaru Labour department lo, complaint chestanu 😡",Bad,1500
"Health department la nalla anubhavam, desk officer paisa kettaangale illai ✅",Good,0
"Naanu RTO ge hogi satisfied aadhe, kaam bega aaytu paisa kela maadlilla",Good,0
"Okay experience at Employment exchange, duty officer was busy and barely acknowledged me",Neutral,0
"Kaam jaldi hua Fire NOC office mein, head clerk helpful tha aur honest bhi",Good,0
"Gave INR 6,000 because the waiting game at Drug control department was clearly never ending",Bad,2500
Employment exchange experience was average — senior officer did the job but nothing more,Neutral,1000
"Forced ah INR 4,000 vanginaanga BBMP la, complaint panren definitely 😡",Bad,1200
"Paid INR 20,000 and my file was immediately processed at Taluk office — obvious corruption",Bad,1000
"Straight aagi heltidru INR 2,500 kodo Labour department nalli, illadre file close aagthade",Bad,50000
"INR 10,000 dile naachaar hoton Health department la, kahi paryay navhata 😞",Bad,20000
"Forced ah INR 8,000 vanginaanga Labour department la, complaint panren definitely 😡",Bad,800
"Social welfare office head clerk straight ah pannichitaanga, extra paisa illai bilkul",Good,0
Had to visit Taluk office three times for something that should take one visit,Neutral,500
"Ration PDS office mein file kaafi dino se atak gayi, duty officer koi reason nahi bata raha",Bad,0
"INR 1,500 ichhaanu Police station lo, lekapote pani avvaadu ani telisindi",Bad,500
Fire NOC office duty officer deserves appreciation — zero corruption witnessed,Good,0
"staff member theek tha Social welfare office mein, na helpful na obstructive",Neutral,0
"Hint artham chesukoni INR 800 ichhanu Collectorate lo, pani ayyindi",Bad,500
"Okay experience at Employment exchange, staff member was busy and barely acknowledged me",Neutral,0
"Everything was transparent at Municipal office, duty officer did not delay my file at all",Good,0
officer ne Water board mein sab sahi se kiya bina ek rupaya liye,Good,0
"Bakwaas delay Education department nalli, yaaru explain maadalla — thakto aadhe",Bad,0
"officer ne Drug control department madhye neet explain kela, paisa nahi magitla",Good,0
"desk officer cash INR 1,000 thagolli anthu Water board nalli, bayam haakidru",Bad,50000
"section officer at Income tax office said bring INR 6,000 tomorrow or forget the entire application",Bad,25000
The head clerk at Panchayat office helped me fix the rejection reason and resubmit for free,Good,0
"Income tax office ke bahar dalal khade hain, inspector ne hi bheja lagta hai",Bad,0
"Ek rupaya nahi dena tha par INR 1,500 Police station mein dena pad gaya finally",Bad,40000
"Clean process at Revenue office, every single step was above board and transparent",Good,0
So-so outcome,Neutral,0
"INR 18,000 kuduthen Collectorate la, illati velai aagaathu nu therinjuchu",Bad,35000
"Ek rupaya nahi dena tha par INR 40,000 Collectorate mein dena pad gaya finally",Bad,28000
"The officer at Ration PDS office used a middleman to collect INR 6,000 from me",Bad,1200
"Forced payment INR 30,000 RTO madhye, duty officer la kaahi bhiti nahi 😡",Bad,1200
Revenue office is a black hole for applications — section officer doesn't even make eye contact,Bad,0
"Cash demand of INR 20,000 made openly at Ration PDS office in front of other people",Bad,35000
"section officer at Water board threatened to cancel my file unless I paid INR 6,000 immediately",Bad,1500
"Social welfare office madhye khup chan senior officer hota, paisa magitla nahi 🙏",Good,0
No bribe was asked at Collectorate but the delay did feel deliberate,Neutral,2500
"section officer okay ga unnaru Health department lo, helpful kaadu but",Neutral,0
"officer at Education department said bring INR 40,000 tomorrow or forget the entire application",Bad,28000
"BBMP nalli sakkath clean experience, head clerk honest aagidru",Good,0
"Forest department processed my application same day, not a single rupee demanded",Good,0
"INR 12,000 kuduthen Drug control department la, illati velai aagaathu nu therinjuchu",Bad,28000
"Honest officer at Land registration, I was ready to bribe but never needed to",Good,0
Rare honest officer mila Employment exchange mein — salute karta hoon 🫡,Good,0
Paid INR 500 and my file was immediately processed at GST office — obvious corruption,Bad,10000
"Kaam aaytu paisa kela maadlilla Panchayat office nalli, tumba khushi aadhe",Good,0
"staff member at Land registration said INR 1,200 is the processing charge — it is not official",Bad,1000
Forest department desk officer keeps saying come back tomorrow — classic delay tactic,Bad,0
"INR 20,000 extorted at Drug control department in the name of processing fees — shameless 😡",Bad,40000
The staff member at Revenue office handled everything without asking for a single rupee,Good,0
The duty officer at Taluk office pointed me to a broker outside — I understood the hint,Bad,0
"3 vaara aaytu Trade licence office nalli, file move aagilla, suspicious agi kanisuthu",Bad,0
Frustrated with Land registration — head clerk is clearly waiting but won't say for what,Bad,0
"Naa documents Labour department lo bega process ayyayi, inspector helpful ga unnaaru",Good,0
officer ne Income tax office mein sab sahi se kiya bina ek rupaya liye,Good,0
"Dhamki deta INR 5,000 ghetla Land registration madhye, chukeeche ahe",Bad,45000
"INR 20,000 dile swatahun Water board madhye, nahi tar pani jhaala nasata",Bad,12000
GST office staff didn't demand anything but their attitude was indifferent,Neutral,0
The desk officer at Labour department turned away my agent and helped me directly instead,Good,0
duty officer at Ration PDS office referred me to senior for a completely simple request — stalling,Bad,0
"GST office ke section officer ne honestly explain kiya sab kuch, impressed hua",Good,0
Genuinely impressed by how Collectorate duty officer handled my documents honestly,Good,0
"Work aaytu Police station nalli bega bega, officer tumba helpful aagidru",Good,0
"Kya karein, INR 3,000 de ke nipta liya GST office mein 😞",Bad,30000
"3 vaaram ayyindi Health department ki, progress ledu, suspicious ga undi",Bad,0
Delay maatrame,Bad,0
supervisor at RTO said technical issue every visit — same excuse for 2 months,Bad,0
"Naa documents Water board lo bega process ayyayi, desk officer helpful ga unnaaru",Good,0
Genuinely impressed by how Collectorate head clerk handled my documents honestly,Good,0
Zero corruption,Good,0
"clerk ne seedha kaha INR 8,000 lao Education department mein warna application cancel",Bad,50000
"staff member ne seedha kaha INR 5,000 lao Land registration mein warna application cancel",Bad,2000
"Forced payment INR 12,000 Building permit office madhye, staff member la kaahi bhiti nahi 😡",Bad,1200
"Cash demand ki officer ne Municipal office mein — INR 50,000 le liya bina receipt ke",Bad,500
"staff member seedha INR 3,000 kettikaattu Land registration la, illati reject pannuven nu sonnaar",Bad,45000
"Cash demand ki desk officer ne Collectorate mein — INR 1,000 le liya bina receipt ke",Bad,2000
The senior officer at Income tax office asked unnecessary repeated questions but finally processed,Neutral,0
Frustrating bahut,Bad,0
"duty officer at Taluk office said pay INR 1,000 or come back in six months",Bad,10000
"Naa documents Ration PDS office lo bega process ayyayi, staff member helpful ga unnaaru",Good,0
"Delay chaala jaasti Panchayat office lo, vere karanam undali anukunnaanu",Bad,0
Ek rupaya nahi dena tha par INR 800 Land registration mein dena pad gaya finally,Bad,10000
"INR 2,000 kuduthen Trade licence office la, illati velai aagaathu nu therinjuchu",Bad,15000
Taluk office staff didn't demand anything but their attitude was indifferent,Neutral,1200
"Mediocre service at Building permit office, senior officer was indifferent throughout",Neutral,0
"senior officer ek rupee kela maadlilla, rare honest person 🙏",Good,0
"Okay experience at Collectorate, duty officer was busy and barely acknowledged me",Neutral,0
"Hint artham chesukoni INR 6,000 ichhanu Building permit office lo, pani ayyindi",Bad,45000
"desk officer direct ga INR 6,000 adige Drug control department lo, lekapote reject antaadu",Bad,30000
"Maine khud INR 4,000 diye Police station mein kyunki kaam hone wala nahi tha",Bad,4000
The clerk at Municipal office pointed me to a broker outside — I understood the hint,Bad,0
supervisor at Drug control department kept giving hints about facilitation but never said directly,Bad,0
"desk officer ne seedha INR 20,000 magitla Fire NOC office madhye, nahi tar reject asa sangitla",Bad,12000
"Forced ga INR 1,000 teesukunnaru Land registration lo, complaint chestanu 😡",Bad,800
"Kya karein, INR 18,000 de ke nipta liya Trade licence office mein 😞",Bad,2500
"BBMP inspector straight ah pannichitaanga, extra paisa illai bilkul",Good,0
"Dabaav mein diya INR 1,500 Forest department mein, inspector bilkul nahi dara",Bad,500
The desk officer at Social welfare office handled everything without asking for a single rupee,Good,0
"head clerk ne seedha kaha INR 15,000 lao GST office mein warna application cancel",Bad,1200
"INR 30,000 ichhaanu Passport office lo, lekapote pani avvaadu ani telisindi",Bad,35000
Seedha bola Land registration mein INR 500 do ya ghar jao — itna bold tha inspector,Bad,2500
desk officer at Income tax office was bold enough to demand INR 800 with cameras watching,Bad,6000
"Paid INR 2,500 and work done in 10 minutes at Taluk office — that says everything",Bad,5000
"Directly cash kettaanganu Municipal office la, INR 20,000 kuduthen",Bad,28000
"Naachaar ah INR 500 kuduthen Social welfare office la, veru vazhi illai",Bad,45000
"INR 1,000 ki demand khullam khulla Revenue office mein, koi sharam nahi 😡",Bad,1500
"desk officer nodi nakkidhu Social welfare office nalli, yenu kela maadlilla — satisfied",Good,0
"head clerk screamed at me when I refused, then demanded INR 1,500 again loudly",Bad,40000
Paisa kodo illadidre docs lost aagthave anthu head clerk direct aagi heltidru Building permit office nalli,Bad,28000
"INR 10,000 swayamga ichhanu Social welfare office lo, system ila undi 😞",Bad,45000
"Directly cash kettaanganu BBMP la, INR 1,500 kuduthen",Bad,50000
"Straight aagi heltidru INR 50,000 kodo Passport office nalli, illadre file close aagthade",Bad,4000
"GST office mein file kaafi dino se atak gayi, clerk koi reason nahi bata raha",Bad,0
"INR 40,000 diye Health department mein apni marzi se, warna aur mahine nikal jaate",Bad,3000
"Gave INR 12,000 at Ration PDS office because I cannot keep taking leaves from work",Bad,1200
The staff member at Health department turned away my agent and helped me directly instead,Good,0
"Work aaytu Water board nalli bega bega, staff member tumba helpful aagidru",Good,0
officer barely looked at me at RTO — clearly waiting for cash,Bad,0
"clerk ne seedha kaha INR 50,000 lao Ration PDS office mein warna application cancel",Bad,25000
Pehli baar sarkari kaam bina bribe ke hua Building permit office mein,Good,0
"Delay khup ahe Land registration madhye, vaegla karan asav asa vatat",Bad,0
"Bribe of INR 25,000 demanded at Forest department openly in cash, no receipt was given",Bad,3000
"Honest section officer at Employment exchange, I was ready to bribe but never needed to",Good,0
"Seedha bola Passport office mein INR 5,000 do ya ghar jao — itna bold tha staff member",Bad,4000
"Seedha bola Social welfare office mein INR 25,000 do ya ghar jao — itna bold tha duty officer",Bad,20000
The inspector at Drug control department turned away my agent and helped me directly instead,Good,0
RTO senior officer said system is down for three weeks in a row — not buying it,Bad,0
"Clearly Land registration mein paisa expect kar rahe hain, hints bahut obvious hain",Bad,0
"Files cleared in two days at Taluk office, clerk was genuinely helpful",Good,0
"Paid INR 8,000 at BBMP under direct threat, will file RTI complaint now",Bad,1000
section officer at BESCOM threatened to cancel my file unless I paid INR 800 immediately,Bad,18000
"Naane kodthe INR 500 Forest department nalli, kela maadlilla andre file move aagilla",Bad,4000
"INR 1,000 extorted at Forest department in the name of processing fees — shameless 😡",Bad,12000
"Forced to pay INR 18,000 at Land registration, supervisor had no fear of CCTV at all",Bad,2500
The inspector at Revenue office pointed me to a broker outside — I understood the hint,Bad,0
senior officer ne Drug control department mein sab sahi se kiya bina ek rupaya liye,Good,0
"desk officer ne Passport office mein file rook ke rakhi jab tak INR 4,000 nahi diye",Bad,5000
The section officer at Labour department made excuses about missing signatures every visit,Bad,0
"head clerk at Taluk office was bold enough to demand INR 1,200 with cameras watching",Bad,1500
"duty officer ne Passport office madhye broker la door kela, swatah help kela — respect",Good,0
The desk officer at Panchayat office asked unnecessary repeated questions but finally processed,Neutral,0
"File kaadu Municipal office lo, duty officer kaaran cheppaleda — frustrated ayyanu 😤",Bad,0
staff member at Water board declined when I tried to offer extra money — respected that 🙏,Good,0
"Paid INR 25,000 at Water board under direct threat, will file RTI complaint now",Bad,4000
"desk officer at Income tax office threatened to cancel my file unless I paid INR 30,000 immediately",Bad,800
The officer at Employment exchange asked unnecessary repeated questions but finally processed,Neutral,0
Genuinely impressed by how Income tax office head clerk handled my documents honestly,Good,0
"The clerk at GST office demanded INR 3,000 openly with absolutely zero shame",Bad,500
staff member at Ration PDS office was polite but the process was slow and confusing,Neutral,0
section officer at Health department was polite but the process was slow and confusing,Neutral,0
Got a feeling at Municipal office that cash was needed but no one would say it,Bad,0
"File yellide gottagalla Labour department nalli, duty officer naale baa anthaare 😤",Bad,0
New objection every single visit at Passport office — this is deliberate harassment,Bad,0
"Gave INR 6,000 on my own at Trade licence office after months of completely deliberate delay",Bad,20000
"Was told to pay INR 2,000 at Income tax office or my application would be rejected",Bad,1500
"staff member naanu nodi nakkidru BBMP nalli, hint aagtha itha directly helbilla",Bad,0
"Everything was transparent at Drug control department, desk officer did not delay my file at all",Good,0
"Chakkar kaata raha hoon Municipal office ka, thak gaya yaar bilkul",Bad,0
"INR 3,000 demanded before stamp at Building permit office — this is not how it should work",Bad,8000
"Forced payment INR 8,000 BBMP madhye, desk officer la kaahi bhiti nahi 😡",Bad,800
"The section officer kept my file hostage until I paid INR 40,000 at Health department",Bad,6000
inspector at Employment exchange said bring all originals again — they already have them,Bad,0
"Cash demand of INR 15,000 made openly at Forest department in front of other people",Bad,50000
"Got my document from Education department without any agent or bribe, proud moment",Good,0
Labour department inspector said system is down for three weeks in a row — not buying it,Bad,0
"Dabaav mein diya INR 25,000 Taluk office mein, staff member bilkul nahi dara",Bad,5000
Genuinely impressed by how Collectorate desk officer handled my documents honestly,Good,0
"INR 4,000 diye Building permit office mein apni marzi se, warna aur mahine nikal jaate",Bad,1000
"duty officer ne Fire NOC office mein bina kuch liye kaam kar diya, yaar yeh rare hai",Good,0
Never saw my file move at Revenue office despite submitting everything correctly,Bad,0
"Building permit office duty officer did not delay even once, what a refreshing experience",Good,0
"desk officer at RTO said pay INR 40,000 or come back in six months",Bad,45000
"Sad but pay maade INR 4,000 Drug control department nalli, system heege ide 😞",Bad,45000
"Itna clean kaam hua Land registration mein, honestly shocked tha main",Good,0
"staff member ishara dila Land registration madhye, seedha nahi bolta — kalay mala",Bad,0
"INR 15,000 dile naachaar hoton Trade licence office la, kahi paryay navhata 😞",Bad,8000
"supervisor straight aagi maadidru, extra paisa expect maadlilla bilkul",Good,0
"head clerk at Education department pointed at the drawer — I placed INR 8,000 inside",Bad,1500
"inspector theek tha RTO mein, na helpful na obstructive",Neutral,0
"INR 25,000 dile naachaar hoton BESCOM la, kahi paryay navhata 😞",Bad,28000
"INR 1,200 demanded before stamp at Employment exchange — this is not how it should work",Bad,8000
"Naachaar ah INR 5,000 kuduthen RTO la, veru vazhi illai",Bad,500
"Paid INR 18,000 at Income tax office under force, filing a complaint with vigilance now",Bad,2500
"Forced ga INR 2,500 teesukunnaru RTO lo, complaint chestanu 😡",Bad,28000
Time eduthuchu,Neutral,800
"Forced payment INR 4,000 Income tax office madhye, duty officer la kaahi bhiti nahi 😡",Bad,500
clerk barely looked at me at Health department — clearly waiting for cash,Bad,0
"Dabaav mein diya INR 10,000 BBMP mein, duty officer bilkul nahi dara",Bad,2000
The supervisor at Police station helped me fix the rejection reason and resubmit for free,Good,0
Rare clean governance — Collectorate section officer did the work on time 🙏,Good,0
"Itna clean kaam hua Employment exchange mein, honestly shocked tha main",Good,0
"The section officer kept my file hostage until I paid INR 2,500 at Water board",Bad,45000
The officer at BESCOM was slow but at least no bribe was demanded,Neutral,1200
"Gave INR 1,500 at Collectorate after supervisor rejected my correct documents twice",Bad,1200
"Hint purinjuchu, INR 6,000 kuduthen Social welfare office la, velai seekirama achu",Bad,2500
"Naachaar ah INR 40,000 kuduthen Taluk office la, veru vazhi illai",Bad,3000
"supervisor at Fire NOC office threatened to cancel my file unless I paid INR 30,000 immediately",Bad,2000
"staff member okay ah irundhaaru Building permit office la, romba helpful illai but",Neutral,0
"Paid INR 1,000 and my file was immediately processed at Ration PDS office — obvious corruption",Bad,30000
"Education department mein file kaafi dino se atak gayi, officer koi reason nahi bata raha",Bad,0
"Forced ga INR 20,000 teesukunnaru Revenue office lo, complaint chestanu 😡",Bad,1000
section officer at Labour department said bring all originals again — they already have them,Bad,0
"Revenue office la romba nalla senior officer irundhaaru, paisa kettaangale illai 🙏",Good,0
Helpful tha,Good,0
"INR 20,000 ichhaanu Employment exchange lo, lekapote pani avvaadu ani telisindi",Bad,10000
"Police station nalli sakkath clean experience, supervisor honest aagidru",Good,0
"Cash demand of INR 50,000 made openly at Panchayat office in front of other people",Bad,800
"senior officer seedha INR 1,200 kettikaattu BESCOM la, illati reject pannuven nu sonnaar",Bad,40000
"Gave INR 20,000 at Collectorate after senior officer rejected my correct documents twice",Bad,12000
"INR 40,000 kela maadidru openly Employment exchange nalli, yenu lajja illa avrige",Bad,6000
"File yellide gottagalla Building permit office nalli, head clerk naale baa anthaare 😤",Bad,0
"inspector directly INR 30,000 kela maade RTO nalli, illadre reject anthu",Bad,40000
"officer ne seedha kaha INR 15,000 lao Police station mein warna application cancel",Bad,500
"Forced ga INR 4,000 teesukunnaru Revenue office lo, complaint chestanu 😡",Bad,1000
"duty officer hint kuduttaaru Employment exchange la, direct ah sollavillai — purinjuchu",Bad,0
"INR 12,000 ichhaanu Employment exchange lo, lekapote pani avvaadu ani telisindi",Bad,5000
The inspector at Land registration made excuses about missing signatures every visit,Bad,0
"INR 25,000 dile swatahun Health department madhye, nahi tar pani jhaala nasata",Bad,8000
"Broker illama velai achu Employment exchange la, duty officer honest ah irundhaaru",Good,0
"desk officer Ration PDS office mein baar baar kal aao bol raha hai, kaam nahi ho raha 😤",Bad,0
"section officer directly INR 6,000 kela maade Water board nalli, illadre reject anthu",Bad,800
"Pehilya visit la kaam zaala Labour department madhye, staff member decent hota",Good,0
Forest department head clerk keeps saying come back tomorrow — classic delay tactic,Bad,0
Municipal office is a black hole for applications — inspector doesn't even make eye contact,Bad,0
Broker kitta poi paaru nu staff member sonna maari irukku Building permit office la,Bad,0
"Water board mein clean experience, officer ne koi paisa nahi manga",Good,0
"INR 25,000 dile naachaar hoton Passport office la, kahi paryay navhata 😞",Bad,1000
"Forced ah INR 30,000 vanginaanga Municipal office la, complaint panren definitely 😡",Bad,15000
The desk officer kept my file hostage until I paid INR 500 at Labour department,Bad,500
"Mediocre service at Income tax office, inspector was indifferent throughout",Neutral,0
"Forced payment INR 500 Education department madhye, senior officer la kaahi bhiti nahi 😡",Bad,45000
"Bribe of INR 8,000 demanded at BESCOM openly in cash, no receipt was given",Bad,2000
"senior officer ne Panchayat office mein file rook ke rakhi jab tak INR 30,000 nahi diye",Bad,18000
"Maine khud INR 15,000 diye RTO mein kyunki kaam hone wala nahi tha",Bad,1200
"The desk officer at Employment exchange demanded INR 1,200 openly with absolutely zero shame",Bad,30000
"Hint purinjuchu, INR 30,000 kuduthen Passport office la, velai seekirama achu",Bad,30000
"Education department mein bahut achha inspector tha, koi bhi demand nahi ki bilkul",Good,0
The head clerk at Health department turned away my agent and helped me directly instead,Good,0
"BESCOM mein bahut achha head clerk tha, koi bhi demand nahi ki bilkul",Good,0
"Documents process panna seekirama achu Education department la, happy irukken",Good,0
"Gave INR 3,000 at Health department after inspector rejected my correct documents twice",Bad,12000
"Dabaav mein diya INR 10,000 Fire NOC office mein, head clerk bilkul nahi dara",Bad,12000
"head clerk screamed at me when I refused, then demanded INR 6,000 again loudly",Bad,1500
"Forced payment INR 1,000 Revenue office madhye, officer la kaahi bhiti nahi 😡",Bad,35000
officer at Water board was bold enough to demand INR 500 with cameras watching,Bad,2500
"Paid INR 2,500 at Labour department under direct threat, will file RTI complaint now",Bad,3000
"Hint purinjuchu, INR 6,000 kuduthen Trade licence office la, velai seekirama achu",Bad,1200
The head clerk at BESCOM handled everything without asking for a single rupee,Good,0
"Average experience at Police station, senior officer processed my file eventually",Neutral,0
"Municipal office ke staff member ne honestly explain kiya sab kuch, impressed hua",Good,0
"Forced payment INR 10,000 Municipal office madhye, duty officer la kaahi bhiti nahi 😡",Bad,1200
"inspector at Taluk office pointed at the drawer — I placed INR 1,000 inside",Bad,1200
"Paid INR 2,500 and finally left BESCOM — disgusted and angry about this whole thing",Bad,30000
"Education department officer tumba honest, ek rupee expect maadlilla",Good,0
"Paid INR 1,000 and work done in 10 minutes at Ration PDS office — that says everything",Bad,30000
supervisor at Water board declined when I tried to offer extra money — respected that 🙏,Good,0
"INR 18,000 dile naachaar hoton Forest department la, kahi paryay navhata 😞",Bad,500
My staff member at Water board was the first honest government officer I have met,Good,0
Forest department experience was average — duty officer did the job but nothing more,Neutral,3000
"Told me flat out at Forest department — pay INR 3,000 or get out of this office now",Bad,4000
"Shukriya Building permit office ke desk officer ko, ek rupaya bhi nahi manga",Good,0
"duty officer at Ration PDS office threatened to cancel my file unless I paid INR 18,000 immediately",Bad,800
Suspicious delays at Employment exchange — others work moves fast but mine doesn't,Bad,0
senior officer at Employment exchange declined when I tried to offer extra money — respected that 🙏,Good,0
staff member at GST office was bold enough to demand INR 800 with cameras watching,Bad,500
"Dhamki deta INR 800 ghetla RTO madhye, chukeeche ahe",Bad,1500
The senior officer at Revenue office pointed me to a broker outside — I understood the hint,Bad,0
"Bribe of INR 20,000 demanded at Income tax office openly in cash, no receipt was given",Bad,500
"Was told to pay INR 2,500 at Labour department or my application would be rejected",Bad,500
"Mediocre service at Panchayat office, duty officer was indifferent throughout",Neutral,2000
"Paid INR 2,500 at Labour department under force, filing a complaint with vigilance now",Bad,1000
Kaam ho gaya Fire NOC office mein lekin bahut unnecessary time laga,Neutral,0
supervisor at Employment exchange was polite but the process was slow and confusing,Neutral,800
"Dabaav mein diya INR 1,500 Panchayat office mein, clerk bilkul nahi dara",Bad,18000
"File halavli nahi Trade licence office madhye, officer kaaran nahi saangitla — frustrated",Bad,0
"Paid INR 1,500 and my file was immediately processed at BBMP — obvious corruption",Bad,1000
"Forced to pay INR 12,000 at Water board, officer had no fear of CCTV at all",Bad,8000
"inspector naanu nodi nakkidru Collectorate nalli, hint aagtha itha directly helbilla",Bad,0
"Social welfare office desk officer did not delay even once, what a refreshing experience",Good,0
Told me flat out at Ration PDS office — pay INR 800 or get out of this office now,Bad,800
"Har baar naya bahana Employment exchange mein — system slow, file yahaan nahi, sign baaki",Bad,0
Cash demand ki staff member ne GST office mein — INR 800 le liya bina receipt ke,Bad,10000
"duty officer cash INR 500 thagolli anthu Education department nalli, bayam haakidru",Bad,50000
"INR 20,000 diye RTO mein apni marzi se, warna aur mahine nikal jaate",Bad,4000
"Paid INR 20,000 at Education department under force, filing a complaint with vigilance now",Bad,28000
"Naane kodthe INR 30,000 Labour department nalli, kela maadlilla andre file move aagilla",Bad,45000
"Ration PDS office mein clean experience, staff member ne koi paisa nahi manga",Good,0
